20:32:04 : temp:21, pwm:0/50, des_temp:0, auto:0
20:32:06 : temp:21, pwm:23/50, des_temp:0, auto:0
20:32:07 : temp:21, pwm:23/50, des_temp:0, auto:0
20:32:07 : temp:21, pwm:23/50, des_temp:0, auto:0
20:32:08 : temp:21, pwm:23/50, des_temp:0, auto:0
20:32:09 : temp:21, pwm:23/50, des_temp:0, auto:0
20:32:11 : temp:21, pwm:23/50, des_temp:0, auto:0
20:32:11 : temp:21, pwm:23/50, des_temp:0, auto:0
20:32:12 : temp:21, pwm:23/50, des_temp:0, auto:0
20:32:13 : temp:21, pwm:23/50, des_temp:0, auto:0
20:32:15 : temp:21, pwm:23/50, des_temp:0, auto:0
20:32:15 : temp:21, pwm:23/50, des_temp:0, auto:0
20:32:16 : temp:21, pwm:23/50, des_temp:0, auto:0
20:32:17 : temp:21, pwm:23/50, des_temp:0, auto:0
20:32:18 : temp:21, pwm:23/50, des_temp:0, auto:0
20:32:19 : temp:21, pwm:23/50, des_temp:0, auto:0
20:32:20 : temp:21, pwm:23/50, des_temp:0, auto:0
20:32:21 : temp:21, pwm:23/50, des_temp:0, auto:0
20:32:23 : temp:21, pwm:23/50, des_temp:0, auto:0
20:32:23 : temp:21, pwm:23/50, des_temp:0, auto:0
20:32:24 : temp:21, pwm:23/50, des_temp:0, auto:0
20:32:25 : temp:21, pwm:23/50, des_temp:0, auto:0
20:33:26 : temp:21, pwm:0/50, des_temp:0, auto:0
20:33:27 : temp:21, pwm:0/50, des_temp:0, auto:0
20:33:27 : temp:21, pwm:0/50, des_temp:0, auto:0
20:33:28 : temp:21, pwm:0/50, des_temp:0, auto:0
20:33:29 : temp:21, pwm:0/50, des_temp:0, auto:0
20:33:31 : temp:21, pwm:23/50, des_temp:0, auto:0
20:33:31 : temp:21, pwm:23/50, des_temp:0, auto:0
20:33:33 : temp:21, pwm:23/50, des_temp:0, auto:0
20:33:34 : temp:21, pwm:23/50, des_temp:0, auto:0
20:33:35 : temp:21, pwm:23/50, des_temp:0, auto:0
20:33:36 : temp:21, pwm:23/50, des_temp:0, auto:0
20:36:34 : temp:21, pwm:0/50, des_temp:0, auto:0
20:36:35 : temp:21, pwm:0/50, des_temp:0, auto:0
20:36:37 : temp:21, pwm:0/50, des_temp:0, auto:0
20:36:38 : temp:21, pwm:0/50, des_temp:0, auto:0
20:36:38 : temp:21, pwm:0/50, des_temp:0, auto:0
20:36:40 : temp:21, pwm:23/50, des_temp:0, auto:0
20:36:41 : temp:21, pwm:23/50, des_temp:0, auto:0
20:36:41 : temp:21, pwm:23/50, des_temp:0, auto:0
20:36:57 : temp:21, pwm:0/50, des_temp:0, auto:0
20:36:58 : temp:21, pwm:0/50, des_temp:0, auto:0
20:36:59 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:00 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:01 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:02 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:03 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:04 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:05 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:06 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:07 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:08 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:09 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:10 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:11 : temp:21, pwm:0/50, des_temp:0, auto:0
